Date,Open,High,Low,Close,Adj Close,Volume
2008-06-06,867.440002,904.000000,858.559998,897.359985,897.359985,4141800
2008-06-09,880.159973,892.960022,863.440002,872.400024,872.400024,1714800
2008-06-10,881.039978,891.280029,849.919983,856.159973,856.159973,2465500
2008-06-11,870.159973,898.400024,866.479980,887.919983,887.919983,2239500
2008-06-12,864.080017,893.200012,855.679993,890.159973,890.159973,1768600
2008-06-13,871.359985,882.320007,868.000000,873.599976,873.599976,1242600
2008-06-16,902.000000,902.000000,864.559998,871.919983,871.919983,1523500
2008-06-17,866.159973,879.039978,864.239990,869.440002,869.440002,1527900
2008-06-18,870.000000,888.880005,856.960022,887.119995,887.119995,1566100
2008-06-19,886.320007,886.320007,855.200012,855.280029,855.280029,2233300
2008-06-20,877.599976,889.760010,868.799988,873.119995,873.119995,2001200
2008-06-23,875.679993,894.559998,875.280029,887.359985,887.359985,1513500
2008-06-24,883.440002,893.599976,880.000000,887.599976,887.599976,1193600
2008-06-25,882.159973,883.200012,854.640015,868.000000,868.000000,1743400
2008-06-26,891.039978,908.799988,886.479980,904.960022,904.960022,1909300
2008-06-27,910.960022,926.159973,905.200012,910.000000,910.000000,1774000
2008-06-30,921.280029,922.640015,901.200012,909.280029,909.280029,1493900
2008-07-01,925.520020,927.840027,907.520020,916.719971,916.719971,1648500
2008-07-02,910.479980,937.840027,909.520020,934.719971,934.719971,2267000
2008-07-03,934.320007,939.679993,927.359985,934.559998,934.559998,1158500
2008-07-07,914.320007,928.960022,903.760010,919.599976,919.599976,1709500
2008-07-08,892.000000,893.599976,875.679993,879.359985,879.359985,2107900
2008-07-09,887.520020,894.479980,876.400024,877.200012,877.200012,2320000
2008-07-10,891.520020,919.359985,883.679993,914.719971,914.719971,1542900
2008-07-11,952.640015,953.359985,924.719971,939.119995,939.119995,1859900
2008-07-14,940.000000,948.000000,932.000000,939.840027,939.840027,940800
2008-07-15,941.599976,944.159973,880.640015,899.119995,899.119995,3451000
2008-07-16,892.159973,895.520020,855.760010,874.000000,874.000000,2634100
2008-07-17,870.880005,885.919983,837.200012,844.239990,844.239990,2775800
2008-07-18,846.719971,852.559998,831.280029,835.520020,835.520020,1727900
2008-07-21,840.799988,855.840027,832.559998,853.359985,853.359985,1193900
2008-07-22,841.599976,842.640015,814.960022,826.559998,826.559998,1697300
2008-07-23,819.119995,829.840027,800.000000,800.159973,800.159973,2239300
2008-07-24,811.039978,815.440002,796.400024,811.679993,811.679993,1507500
2008-07-25,802.640015,803.280029,790.080017,794.159973,794.159973,1784400
2008-07-28,798.400024,805.280029,790.640015,804.320007,804.320007,1211400
2008-07-29,799.760010,799.919983,776.239990,784.320007,784.320007,1877700
2008-07-30,786.000000,821.280029,778.799988,817.039978,817.039978,2491500
2008-07-31,817.840027,817.840027,791.919983,799.919983,799.919983,1724700
2008-08-01,796.960022,829.119995,796.000000,808.320007,808.320007,1553800
2008-08-04,801.200012,812.799988,770.799988,780.159973,780.159973,1949300
2008-08-05,773.039978,782.000000,763.440002,764.719971,764.719971,1485700
2008-08-06,770.400024,776.880005,755.599976,763.359985,763.359985,2059000
2008-08-07,777.359985,779.840027,760.239990,771.520020,771.520020,1414500
2008-08-08,761.039978,763.039978,740.159973,741.440002,741.440002,1327900
2008-08-11,748.400024,750.159973,728.640015,740.080017,740.080017,1612700
2008-08-12,743.599976,744.479980,726.400024,731.919983,731.919983,1686600
2008-08-13,733.919983,758.159973,732.960022,750.000000,750.000000,2064000
2008-08-14,745.599976,754.559998,728.320007,741.919983,741.919983,1236400
2008-08-15,731.760010,737.599976,720.320007,734.400024,734.400024,1767000
2008-08-18,741.119995,745.039978,723.760010,730.080017,730.080017,1264000
2008-08-19,728.479980,754.000000,718.640015,741.919983,741.919983,1762700
2008-08-20,749.440002,755.679993,727.599976,751.840027,751.840027,1828000
2008-08-21,774.640015,788.320007,766.400024,785.679993,785.679993,2189600
2008-08-22,774.559998,774.640015,738.000000,740.320007,740.320007,2101200
2008-08-25,741.280029,747.119995,734.559998,744.799988,744.799988,1231100
2008-08-26,753.280029,761.440002,743.280029,751.200012,751.200012,1415100
2008-08-27,768.159973,771.599976,754.000000,765.280029,765.280029,1693500
2008-08-28,776.719971,776.719971,737.599976,747.119995,747.119995,1811200
2008-08-29,763.599976,765.520020,742.960022,742.960022,742.960022,1099300
2008-09-02,695.039978,714.400024,694.239990,713.520020,713.520020,2745600
2008-09-03,698.799988,708.000000,693.200012,707.520020,707.520020,1618100
2008-09-04,706.479980,708.640015,688.320007,696.159973,696.159973,1934000
2008-09-05,695.200012,697.840027,679.760010,688.479980,688.479980,1566700
2008-09-08,698.960022,701.760010,676.960022,687.440002,687.440002,1367500
2008-09-09,674.640015,676.880005,657.440002,658.799988,658.799988,2486600
2008-09-10,670.239990,677.440002,653.599976,663.760010,663.760010,1820200
2008-09-11,663.119995,663.679993,646.080017,651.919983,651.919983,2212100
2008-09-12,657.280029,664.000000,645.679993,651.919983,651.919983,2277500
2008-09-15,617.679993,632.400024,607.280029,610.400024,610.400024,2153500
2008-09-16,590.080017,605.679993,583.599976,599.919983,599.919983,2691000
2008-09-17,601.840027,627.919983,587.679993,620.000000,620.000000,2539400
2008-09-18,637.039978,646.559998,617.200012,633.359985,633.359985,2115100
2008-09-19,660.880005,666.000000,635.200012,661.039978,661.039978,1617100
2008-09-22,680.159973,713.280029,679.760010,700.960022,700.960022,2319400
2008-09-23,704.799988,706.640015,671.280029,689.039978,689.039978,1743700
2008-09-24,702.559998,706.080017,676.400024,678.880005,678.880005,1378600
2008-09-25,673.599976,700.559998,672.559998,693.520020,693.520020,1146700
2008-09-26,676.239990,693.359985,674.479980,689.679993,689.679993,890900
2008-09-29,653.919983,657.359985,613.200012,616.719971,616.719971,1478300
2008-09-30,632.799988,656.640015,628.880005,656.080017,656.080017,837400
2008-10-01,636.559998,651.520020,619.200012,636.719971,636.719971,1299100
2008-10-02,623.679993,624.479980,603.440002,606.559998,606.559998,1282500
2008-10-03,594.239990,619.760010,594.239990,602.000000,602.000000,1614600
2008-10-06,586.320007,593.200012,564.719971,572.880005,572.880005,1693000
2008-10-07,587.840027,593.039978,566.239990,579.919983,579.919983,1345100
2008-10-08,569.440002,584.799988,557.520020,578.080017,578.080017,1593000
2008-10-09,578.719971,582.400024,551.599976,556.799988,556.799988,1156800
2008-10-10,521.200012,544.320007,506.559998,532.000000,532.000000,2015500
2008-10-13,537.599976,542.239990,524.400024,542.239990,542.239990,755800
2008-10-14,547.840027,550.719971,515.599976,520.239990,520.239990,1121100
2008-10-15,497.679993,503.119995,485.839996,485.839996,485.839996,1077700
2008-10-16,482.640015,487.600006,451.839996,474.720001,474.720001,1963700
2008-10-17,464.959991,488.799988,461.279999,474.959991,474.959991,1602800
2008-10-20,483.040009,500.000000,472.079987,494.399994,494.399994,1385600
2008-10-21,474.399994,476.799988,461.119995,470.160004,470.160004,1207300
2008-10-22,452.079987,453.279999,434.160004,439.440002,439.440002,1203000
2008-10-23,444.239990,454.799988,438.079987,452.799988,452.799988,1253400
2008-10-24,410.959991,429.119995,410.480011,424.000000,424.000000,956400
2008-10-27,411.519989,431.359985,406.799988,406.799988,406.799988,1173300
2008-10-28,422.799988,426.640015,403.519989,425.760010,425.760010,989100
2008-10-29,435.119995,453.679993,431.519989,445.440002,445.440002,1614500
2008-10-30,444.559998,446.880005,420.000000,432.000000,432.000000,1272500
2008-10-31,423.920013,449.519989,416.160004,444.720001,444.720001,1220600
2008-11-03,430.399994,441.119995,417.279999,419.920013,419.920013,1124100
2008-11-04,434.720001,470.239990,431.440002,459.040009,459.040009,1899700
2008-11-05,447.200012,455.040009,426.239990,430.720001,430.720001,1509200
2008-11-06,417.040009,419.440002,394.480011,401.200012,401.200012,1998700
2008-11-07,404.000000,410.000000,397.119995,400.320007,400.320007,951800
2008-11-10,423.440002,426.399994,392.000000,409.839996,409.839996,1603500
2008-11-11,398.799988,399.600006,383.760010,384.880005,384.880005,1189700
2008-11-12,378.720001,380.880005,365.920013,366.000000,366.000000,1273200
2008-11-13,373.679993,392.000000,361.920013,392.000000,392.000000,1902000
2008-11-14,372.880005,381.440002,365.760010,369.440002,369.440002,1722700
2008-11-17,372.399994,385.440002,358.399994,361.279999,361.279999,1396700
2008-11-18,362.480011,365.519989,352.160004,358.160004,358.160004,1008800
2008-11-19,357.760010,361.279999,346.079987,346.079987,346.079987,1415200
2008-11-20,333.119995,338.399994,314.880005,316.399994,316.399994,1831900
2008-11-21,326.480011,328.320007,313.279999,328.000000,328.000000,1432800
2008-11-24,332.559998,358.239990,325.200012,353.040009,353.040009,1654200
2008-11-25,342.320007,343.279999,327.600006,330.880005,330.880005,1721000
2008-11-26,339.359985,356.799988,327.760010,356.320007,356.320007,2214400
2008-11-28,342.480011,344.880005,331.359985,336.720001,336.720001,569500
2008-12-01,328.720001,333.119995,318.000000,319.119995,319.119995,1142900
2008-12-02,324.000000,325.519989,303.679993,308.000000,308.000000,1971400
2008-12-03,304.079987,311.040009,300.000000,304.399994,304.399994,2289400
2008-12-04,298.079987,305.519989,281.040009,283.279999,283.279999,2941400
2008-12-05,278.000000,281.440002,264.640015,274.000000,274.000000,3072700
2008-12-08,280.880005,289.920013,277.040009,288.959991,288.959991,2599600
2008-12-09,283.279999,288.959991,273.760010,275.600006,275.600006,2031800
2008-12-10,286.720001,298.000000,272.559998,286.480011,286.480011,4666200
2008-12-11,297.440002,318.559998,295.760010,309.119995,309.119995,3772300
